timestep,metrics,total_pos_label
15,"[('True Negtaives', 435), ('False Positives', 36), ('False Negtaives', 1), ('True Positives', 146), ('Accuracy', 0.9401294498381877), ('Precision', 0.8021978021978022), ('Recall', 0.9931972789115646), ('F1 Score', 0.8875379939209727), ('Specificity', 0.9235668789808917), ('NPV', 0.9977064220183486), ('FPR', 0.07643312101910828), ('FDR', 0.1978021978021978), ('MCC', 0.8563431102707244), ('Confusion Matrix', (435, 36, 1, 146)), ('ROC_AUC', 0.99224403137051), ('AUCPR', 0.9883238965613877)]",147
16,"[('True Negtaives', 376), ('False Positives', 26), ('False Negtaives', 7), ('True Positives', 121), ('Accuracy', 0.9377358490566038), ('Precision', 0.8231292517006803), ('Recall', 0.9453125), ('F1 Score', 0.88), ('Specificity', 0.9353233830845771), ('NPV', 0.9817232375979112), ('FPR', 0.06467661691542288), ('FDR', 0.17687074829931973), ('MCC', 0.8418919067589884), ('Confusion Matrix', (376, 26, 7, 121)), ('ROC_AUC', 0.9760766480099501), ('AUCPR', 0.9709165334723344)]",128
17,"[('True Negtaives', 2), ('False Positives', 710), ('False Negtaives', 0), ('True Positives', 99), ('Accuracy', 0.12453760789149199), ('Precision', 0.12237330037082818), ('Recall', 1.0), ('F1 Score', 0.21806167400881055), ('Specificity', 0.0028089887640449437), ('NPV', 1.0), ('FPR', 0.9971910112359551), ('FDR', 0.8776266996291718), ('MCC', 0.018540367465634366), ('Confusion Matrix', (2, 710, 0, 99)), ('ROC_AUC', 0.9749177164907502), ('AUCPR', 0.8363555658925589)]",99
18,"[('True Negtaives', 0), ('False Positives', 337), ('False Negtaives', 0), ('True Positives', 52), ('Accuracy', 0.13367609254498714), ('Precision', 0.13367609254498714), ('Recall', 1.0), ('F1 Score', 0.23582766439909295), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.8663239074550129), ('MCC', 0.0), ('Confusion Matrix', (0, 337, 0, 52)), ('ROC_AUC', 0.9653047249486418), ('AUCPR', 0.9268780379439494)]",52
19,"[('True Negtaives', 1), ('False Positives', 664), ('False Negtaives', 0), ('True Positives', 80), ('Accuracy', 0.1087248322147651), ('Precision', 0.10752688172043011), ('Recall', 1.0), ('F1 Score', 0.19417475728155342), ('Specificity', 0.0015037593984962407), ('NPV', 1.0), ('FPR', 0.9984962406015038), ('FDR', 0.8924731182795699), ('MCC', 0.012715917543696578), ('Confusion Matrix', (1, 664, 0, 80)), ('ROC_AUC', 0.9129511278195488), ('AUCPR', 0.8320933623894716)]",80
20,"[('True Negtaives', 0), ('False Positives', 640), ('False Negtaives', 0), ('True Positives', 260), ('Accuracy', 0.28888888888888886), ('Precision', 0.28888888888888886), ('Recall', 1.0), ('F1 Score', 0.4482758620689655), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.7111111111111111), ('MCC', 0.0), ('Confusion Matrix', (0, 640, 0, 260)), ('ROC_AUC', 0.8689242788461538), ('AUCPR', 0.8225964591808307)]",260
21,"[('True Negtaives', 541), ('False Positives', 0), ('False Negtaives', 77), ('True Positives', 23), ('Accuracy', 0.8798751950078003), ('Precision', 1.0), ('Recall', 0.23), ('F1 Score', 0.3739837398373984), ('Specificity', 1.0), ('NPV', 0.8754045307443366), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.44871264977844944), ('Confusion Matrix', (541, 0, 77, 23)), ('ROC_AUC', 0.935619223659889), ('AUCPR', 0.885356075268437)]",100
22,"[('True Negtaives', 1604), ('False Positives', 1), ('False Negtaives', 119), ('True Positives', 39), ('Accuracy', 0.9319342030629608), ('Precision', 0.975), ('Recall', 0.2468354430379747), ('F1 Score', 0.3939393939393939), ('Specificity', 0.9993769470404984), ('NPV', 0.930934416715032), ('FPR', 0.0006230529595015577), ('FDR', 0.025), ('MCC', 0.47228410728475234), ('Confusion Matrix', (1604, 1, 119, 39)), ('ROC_AUC', 0.9616112622737489), ('AUCPR', 0.9197735491052715)]",158
23,"[('True Negtaives', 0), ('False Positives', 1134), ('False Negtaives', 0), ('True Positives', 53), ('Accuracy', 0.04465037910699242), ('Precision', 0.04465037910699242), ('Recall', 1.0), ('F1 Score', 0.08548387096774195), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9553496208930076), ('MCC', 0.0), ('Confusion Matrix', (0, 1134, 0, 53)), ('ROC_AUC', 0.8580080529766065), ('AUCPR', 0.6493864197341951)]",53
24,"[('True Negtaives', 989), ('False Positives', 0), ('False Negtaives', 134), ('True Positives', 3), ('Accuracy', 0.8809946714031972), ('Precision', 1.0), ('Recall', 0.021897810218978103), ('F1 Score', 0.04285714285714286), ('Specificity', 1.0), ('NPV', 0.8806767586821015), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.13887005626082766), ('Confusion Matrix', (989, 0, 134, 3)), ('ROC_AUC', 0.8749898518742665), ('AUCPR', 0.6582650181751007)]",137
