timestep,metrics,total_pos_label
15,"[('True Negtaives', 471), ('False Positives', 0), ('False Negtaives', 19), ('True Positives', 128), ('Accuracy', 0.9692556634304207), ('Precision', 1.0), ('Recall', 0.8707482993197279), ('F1 Score', 0.9309090909090908), ('Specificity', 1.0), ('NPV', 0.9612244897959183), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.914868618848777), ('Confusion Matrix', (471, 0, 19, 128)), ('ROC_AUC', 0.998136834351575), ('AUCPR', 0.9963948575489268)]",147
16,"[('True Negtaives', 402), ('False Positives', 0), ('False Negtaives', 13), ('True Positives', 115), ('Accuracy', 0.9754716981132076), ('Precision', 1.0), ('Recall', 0.8984375), ('F1 Score', 0.9465020576131687), ('Specificity', 1.0), ('NPV', 0.9686746987951808), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.932895318188914), ('Confusion Matrix', (402, 0, 13, 115)), ('ROC_AUC', 0.9826842350746269), ('AUCPR', 0.9783951628123236)]",128
17,"[('True Negtaives', 710), ('False Positives', 2), ('False Negtaives', 9), ('True Positives', 90), ('Accuracy', 0.9864364981504316), ('Precision', 0.9782608695652174), ('Recall', 0.9090909090909091), ('F1 Score', 0.9424083769633508), ('Specificity', 0.9971910112359551), ('NPV', 0.9874826147426982), ('FPR', 0.0028089887640449437), ('FDR', 0.021739130434782608), ('MCC', 0.9355404104055232), ('Confusion Matrix', (710, 2, 9, 90)), ('ROC_AUC', 0.9931052093973441), ('AUCPR', 0.981927734218881)]",99
18,"[('True Negtaives', 337), ('False Positives', 0), ('False Negtaives', 6), ('True Positives', 46), ('Accuracy', 0.9845758354755784), ('Precision', 1.0), ('Recall', 0.8846153846153846), ('F1 Score', 0.9387755102040816), ('Specificity', 1.0), ('NPV', 0.9825072886297376), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9322773530546659), ('Confusion Matrix', (337, 0, 6, 46)), ('ROC_AUC', 0.9949212508559688), ('AUCPR', 0.9829713764496375)]",52
19,"[('True Negtaives', 662), ('False Positives', 3), ('False Negtaives', 17), ('True Positives', 63), ('Accuracy', 0.9731543624161074), ('Precision', 0.9545454545454546), ('Recall', 0.7875), ('F1 Score', 0.8630136986301369), ('Specificity', 0.9954887218045113), ('NPV', 0.9749631811487481), ('FPR', 0.004511278195488722), ('FDR', 0.045454545454545456), ('MCC', 0.8531088902176901), ('Confusion Matrix', (662, 3, 17, 63)), ('ROC_AUC', 0.9825563909774436), ('AUCPR', 0.9354719237694085)]",80
20,"[('True Negtaives', 633), ('False Positives', 7), ('False Negtaives', 57), ('True Positives', 203), ('Accuracy', 0.9288888888888889), ('Precision', 0.9666666666666667), ('Recall', 0.7807692307692308), ('F1 Score', 0.8638297872340426), ('Specificity', 0.9890625), ('NPV', 0.9173913043478261), ('FPR', 0.0109375), ('FDR', 0.03333333333333333), ('MCC', 0.8249702285091393), ('Confusion Matrix', (633, 7, 57, 203)), ('ROC_AUC', 0.9642397836538462), ('AUCPR', 0.941522590791947)]",260
21,"[('True Negtaives', 522), ('False Positives', 19), ('False Negtaives', 9), ('True Positives', 91), ('Accuracy', 0.9563182527301092), ('Precision', 0.8272727272727273), ('Recall', 0.91), ('F1 Score', 0.8666666666666667), ('Specificity', 0.9648798521256932), ('NPV', 0.9830508474576272), ('FPR', 0.03512014787430684), ('FDR', 0.17272727272727273), ('MCC', 0.8419832357203173), ('Confusion Matrix', (522, 19, 9, 91)), ('ROC_AUC', 0.9863770794824399), ('AUCPR', 0.9513100031830856)]",100
22,"[('True Negtaives', 1593), ('False Positives', 12), ('False Negtaives', 19), ('True Positives', 139), ('Accuracy', 0.9824163357912649), ('Precision', 0.9205298013245033), ('Recall', 0.879746835443038), ('F1 Score', 0.8996763754045308), ('Specificity', 0.9925233644859813), ('NPV', 0.9882133995037221), ('FPR', 0.007476635514018692), ('FDR', 0.07947019867549669), ('MCC', 0.8903199500576032), ('Confusion Matrix', (1593, 12, 19, 139)), ('ROC_AUC', 0.9842836862652312), ('AUCPR', 0.9515320556797008)]",158
23,"[('True Negtaives', 1129), ('False Positives', 5), ('False Negtaives', 30), ('True Positives', 23), ('Accuracy', 0.970513900589722), ('Precision', 0.8214285714285714), ('Recall', 0.4339622641509434), ('F1 Score', 0.5679012345679013), ('Specificity', 0.9955908289241623), ('NPV', 0.9741156169111302), ('FPR', 0.004409171075837742), ('FDR', 0.17857142857142858), ('MCC', 0.5845754585844699), ('Confusion Matrix', (1129, 5, 30, 23)), ('ROC_AUC', 0.8623007553825164), ('AUCPR', 0.616420215435829)]",53
24,"[('True Negtaives', 989), ('False Positives', 0), ('False Negtaives', 112), ('True Positives', 25), ('Accuracy', 0.9005328596802842), ('Precision', 1.0), ('Recall', 0.18248175182481752), ('F1 Score', 0.30864197530864196), ('Specificity', 1.0), ('NPV', 0.8982742960944596), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4048687036194843), ('Confusion Matrix', (989, 0, 112, 25)), ('ROC_AUC', 0.883100972005934), ('AUCPR', 0.7062292581914987)]",137
25,"[('True Negtaives', 476), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 94), ('Accuracy', 0.9595959595959596), ('Precision', 1.0), ('Recall', 0.7966101694915254), ('F1 Score', 0.8867924528301886), ('Specificity', 1.0), ('NPV', 0.952), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8708460721367078), ('Confusion Matrix', (476, 0, 24, 94)), ('ROC_AUC', 0.9845641646489104), ('AUCPR', 0.9694763319443249)]",118
26,"[('True Negtaives', 415), ('False Positives', 6), ('False Negtaives', 24), ('True Positives', 72), ('Accuracy', 0.941972920696325), ('Precision', 0.9230769230769231), ('Recall', 0.75), ('F1 Score', 0.8275862068965517), ('Specificity', 0.9857482185273159), ('NPV', 0.9453302961275627), ('FPR', 0.014251781472684086), ('FDR', 0.07692307692307693), ('MCC', 0.7993303850636236), ('Confusion Matrix', (415, 6, 24, 72)), ('ROC_AUC', 0.9543745051464766), ('AUCPR', 0.9039496452085112)]",96
27,"[('True Negtaives', 182), ('False Positives', 0), ('False Negtaives', 3), ('True Positives', 21), ('Accuracy', 0.9854368932038835), ('Precision', 1.0), ('Recall', 0.875), ('F1 Score', 0.9333333333333333), ('Specificity', 1.0), ('NPV', 0.9837837837837838), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9277989064505362), ('Confusion Matrix', (182, 0, 3, 21)), ('ROC_AUC', 0.9988553113553114), ('AUCPR', 0.992816091954023)]",24
28,"[('True Negtaives', 199), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 80), ('Accuracy', 0.9823943661971831), ('Precision', 1.0), ('Recall', 0.9411764705882353), ('F1 Score', 0.9696969696969697), ('Specificity', 1.0), ('NPV', 0.9754901960784313), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9581797429702443), ('Confusion Matrix', (199, 0, 5, 80)), ('ROC_AUC', 0.9995861661247414), ('AUCPR', 0.9990373891266304)]",85
