timestep,metrics,total_pos_label
14,"[('True Negtaives', 169), ('False Positives', 205), ('False Negtaives', 1), ('True Positives', 42), ('Accuracy', 0.5059952038369304), ('Precision', 0.1700404858299595), ('Recall', 0.9767441860465116), ('F1 Score', 0.28965517241379307), ('Specificity', 0.45187165775401067), ('NPV', 0.9941176470588236), ('FPR', 0.5481283422459893), ('FDR', 0.8299595141700404), ('MCC', 0.26525605863927787), ('Confusion Matrix', (169, 205, 1, 42)), ('ROC_AUC', 0.7910085810222609), ('AUCPR', 0.2217218777640558)]",43
15,"[('True Negtaives', 209), ('False Positives', 262), ('False Negtaives', 1), ('True Positives', 146), ('Accuracy', 0.5744336569579288), ('Precision', 0.35784313725490197), ('Recall', 0.9931972789115646), ('F1 Score', 0.5261261261261262), ('Specificity', 0.4437367303609342), ('NPV', 0.9952380952380953), ('FPR', 0.5562632696390658), ('FDR', 0.6421568627450981), ('MCC', 0.3927762703016064), ('Confusion Matrix', (209, 262, 1, 146)), ('ROC_AUC', 0.8438696072908994), ('AUCPR', 0.512354121584834)]",147
16,"[('True Negtaives', 201), ('False Positives', 201), ('False Negtaives', 1), ('True Positives', 127), ('Accuracy', 0.6188679245283019), ('Precision', 0.3871951219512195), ('Recall', 0.9921875), ('F1 Score', 0.5570175438596491), ('Specificity', 0.5), ('NPV', 0.995049504950495), ('FPR', 0.5), ('FDR', 0.6128048780487805), ('MCC', 0.4337465011999378), ('Confusion Matrix', (201, 201, 1, 127)), ('ROC_AUC', 0.8953474813432837), ('AUCPR', 0.7008133370810985)]",128
17,"[('True Negtaives', 642), ('False Positives', 70), ('False Negtaives', 45), ('True Positives', 54), ('Accuracy', 0.8581997533908755), ('Precision', 0.43548387096774194), ('Recall', 0.5454545454545454), ('F1 Score', 0.48430493273542596), ('Specificity', 0.901685393258427), ('NPV', 0.9344978165938864), ('FPR', 0.09831460674157304), ('FDR', 0.5645161290322581), ('MCC', 0.4067352813578245), ('Confusion Matrix', (642, 70, 45, 54)), ('ROC_AUC', 0.8973158551810237), ('AUCPR', 0.4531548149299457)]",99
18,"[('True Negtaives', 248), ('False Positives', 89), ('False Negtaives', 8), ('True Positives', 44), ('Accuracy', 0.7506426735218509), ('Precision', 0.3308270676691729), ('Recall', 0.8461538461538461), ('F1 Score', 0.4756756756756757), ('Specificity', 0.7359050445103857), ('NPV', 0.96875), ('FPR', 0.26409495548961426), ('FDR', 0.6691729323308271), ('MCC', 0.4175781312233225), ('Confusion Matrix', (248, 89, 8, 44)), ('ROC_AUC', 0.8649280986076238), ('AUCPR', 0.43504418149429347)]",52
19,"[('True Negtaives', 478), ('False Positives', 187), ('False Negtaives', 9), ('True Positives', 71), ('Accuracy', 0.7369127516778523), ('Precision', 0.2751937984496124), ('Recall', 0.8875), ('F1 Score', 0.4201183431952662), ('Specificity', 0.718796992481203), ('NPV', 0.9815195071868583), ('FPR', 0.281203007518797), ('FDR', 0.7248062015503876), ('MCC', 0.3945180669339492), ('Confusion Matrix', (478, 187, 9, 71)), ('ROC_AUC', 0.8612593984962406), ('AUCPR', 0.33765493442746386)]",80
20,"[('True Negtaives', 121), ('False Positives', 519), ('False Negtaives', 0), ('True Positives', 260), ('Accuracy', 0.42333333333333334), ('Precision', 0.3337612323491656), ('Recall', 1.0), ('F1 Score', 0.5004812319538017), ('Specificity', 0.1890625), ('NPV', 1.0), ('FPR', 0.8109375), ('FDR', 0.6662387676508345), ('MCC', 0.2512005831820741), ('Confusion Matrix', (121, 519, 0, 260)), ('ROC_AUC', 0.7831430288461539), ('AUCPR', 0.48171538044676987)]",260
21,"[('True Negtaives', 263), ('False Positives', 278), ('False Negtaives', 8), ('True Positives', 92), ('Accuracy', 0.5538221528861155), ('Precision', 0.24864864864864866), ('Recall', 0.92), ('F1 Score', 0.39148936170212767), ('Specificity', 0.48613678373382624), ('NPV', 0.9704797047970479), ('FPR', 0.5138632162661737), ('FDR', 0.7513513513513513), ('MCC', 0.2983221156624569), ('Confusion Matrix', (263, 278, 8, 92)), ('ROC_AUC', 0.7844916820702402), ('AUCPR', 0.34645101301598624)]",100
22,"[('True Negtaives', 1529), ('False Positives', 76), ('False Negtaives', 113), ('True Positives', 45), ('Accuracy', 0.8927963698241633), ('Precision', 0.371900826446281), ('Recall', 0.2848101265822785), ('F1 Score', 0.3225806451612903), ('Specificity', 0.9526479750778816), ('NPV', 0.9311814859926918), ('FPR', 0.04735202492211838), ('FDR', 0.628099173553719), ('MCC', 0.2682710393585749), ('Confusion Matrix', (1529, 76, 113, 45)), ('ROC_AUC', 0.8526361449583973), ('AUCPR', 0.31500412409054557)]",158
23,"[('True Negtaives', 1071), ('False Positives', 63), ('False Negtaives', 47), ('True Positives', 6), ('Accuracy', 0.9073294018534119), ('Precision', 0.08695652173913043), ('Recall', 0.11320754716981132), ('F1 Score', 0.09836065573770492), ('Specificity', 0.9444444444444444), ('NPV', 0.9579606440071556), ('FPR', 0.05555555555555555), ('FDR', 0.9130434782608695), ('MCC', 0.05088775946080767), ('Confusion Matrix', (1071, 63, 47, 6)), ('ROC_AUC', 0.6224917640011979), ('AUCPR', 0.05998698890638045)]",53
