timestep,metrics,total_pos_label
12,"[('True Negtaives', 490), ('False Positives', 0), ('False Negtaives', 16), ('True Positives', 0), ('Accuracy', 0.9683794466403162), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9683794466403162), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (490, 0, 16, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.03162055335968379)]",16
13,"[('True Negtaives', 518), ('False Positives', 0), ('False Negtaives', 291), ('True Positives', 0), ('Accuracy', 0.6402966625463535), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.6402966625463535), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (518, 0, 291, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.35970333745364647)]",291
14,"[('True Negtaives', 374), ('False Positives', 0), ('False Negtaives', 43), ('True Positives', 0), ('Accuracy', 0.8968824940047961), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8968824940047961), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (374, 0, 43, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.10311750599520383)]",43
15,"[('True Negtaives', 471), ('False Positives', 0), ('False Negtaives', 147), ('True Positives', 0), ('Accuracy', 0.7621359223300971), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7621359223300971), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (471, 0, 147, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.23786407766990292)]",147
16,"[('True Negtaives', 402), ('False Positives', 0), ('False Negtaives', 128), ('True Positives', 0), ('Accuracy', 0.7584905660377359), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7584905660377359), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (402, 0, 128, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.24150943396226415)]",128
17,"[('True Negtaives', 712), ('False Positives', 0), ('False Negtaives', 99), ('True Positives', 0), ('Accuracy', 0.8779284833538841), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8779284833538841), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (712, 0, 99, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.1220715166461159)]",99
18,"[('True Negtaives', 337), ('False Positives', 0), ('False Negtaives', 52), ('True Positives', 0), ('Accuracy', 0.8663239074550129), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8663239074550129), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (337, 0, 52, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.13367609254498714)]",52
19,"[('True Negtaives', 665), ('False Positives', 0), ('False Negtaives', 80), ('True Positives', 0), ('Accuracy', 0.8926174496644296), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8926174496644296), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (665, 0, 80, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.10738255033557047)]",80
20,"[('True Negtaives', 640), ('False Positives', 0), ('False Negtaives', 260), ('True Positives', 0), ('Accuracy', 0.7111111111111111), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7111111111111111), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (640, 0, 260, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.28888888888888886)]",260
21,"[('True Negtaives', 541), ('False Positives', 0), ('False Negtaives', 100), ('True Positives', 0), ('Accuracy', 0.84399375975039), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.84399375975039), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (541, 0, 100, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.15600624024961)]",100
