timestep,metrics,total_pos_label
14,"[('True Negtaives', 164), ('False Positives', 210), ('False Negtaives', 1), ('True Positives', 42), ('Accuracy', 0.4940047961630695), ('Precision', 0.16666666666666666), ('Recall', 0.9767441860465116), ('F1 Score', 0.28474576271186436), ('Specificity', 0.4385026737967914), ('NPV', 0.9939393939393939), ('FPR', 0.5614973262032086), ('FDR', 0.8333333333333334), ('MCC', 0.25824632105505374), ('Confusion Matrix', (164, 210, 1, 42)), ('ROC_AUC', 0.7325581395348837), ('AUCPR', 0.1971098610158422)]",43
15,"[('True Negtaives', 247), ('False Positives', 224), ('False Negtaives', 16), ('True Positives', 131), ('Accuracy', 0.6116504854368932), ('Precision', 0.36901408450704226), ('Recall', 0.891156462585034), ('F1 Score', 0.5219123505976095), ('Specificity', 0.524416135881104), ('NPV', 0.9391634980988594), ('FPR', 0.47558386411889597), ('FDR', 0.6309859154929578), ('MCC', 0.3578689128613261), ('Confusion Matrix', (247, 224, 16, 131)), ('ROC_AUC', 0.8050608778543265), ('AUCPR', 0.4786764332979029)]",147
16,"[('True Negtaives', 246), ('False Positives', 156), ('False Negtaives', 20), ('True Positives', 108), ('Accuracy', 0.6679245283018868), ('Precision', 0.4090909090909091), ('Recall', 0.84375), ('F1 Score', 0.5510204081632654), ('Specificity', 0.6119402985074627), ('NPV', 0.924812030075188), ('FPR', 0.3880597014925373), ('FDR', 0.5909090909090909), ('MCC', 0.3900722112905736), ('Confusion Matrix', (246, 156, 20, 108)), ('ROC_AUC', 0.8085160136815921), ('AUCPR', 0.5121844887361875)]",128
17,"[('True Negtaives', 645), ('False Positives', 67), ('False Negtaives', 70), ('True Positives', 29), ('Accuracy', 0.8310727496917386), ('Precision', 0.3020833333333333), ('Recall', 0.29292929292929293), ('F1 Score', 0.2974358974358974), ('Specificity', 0.9058988764044944), ('NPV', 0.9020979020979021), ('FPR', 0.09410112359550561), ('FDR', 0.6979166666666666), ('MCC', 0.20148692576220315), ('Confusion Matrix', (645, 67, 70, 29)), ('ROC_AUC', 0.7506242197253433), ('AUCPR', 0.2374858091813062)]",99
18,"[('True Negtaives', 299), ('False Positives', 38), ('False Negtaives', 27), ('True Positives', 25), ('Accuracy', 0.8329048843187661), ('Precision', 0.3968253968253968), ('Recall', 0.4807692307692308), ('F1 Score', 0.43478260869565216), ('Specificity', 0.887240356083086), ('NPV', 0.9171779141104295), ('FPR', 0.11275964391691394), ('FDR', 0.6031746031746031), ('MCC', 0.3399356243875493), ('Confusion Matrix', (299, 38, 27, 25)), ('ROC_AUC', 0.8403332572472039), ('AUCPR', 0.3880856542467003)]",52
19,"[('True Negtaives', 527), ('False Positives', 138), ('False Negtaives', 32), ('True Positives', 48), ('Accuracy', 0.7718120805369127), ('Precision', 0.25806451612903225), ('Recall', 0.6), ('F1 Score', 0.3609022556390977), ('Specificity', 0.7924812030075188), ('NPV', 0.9427549194991055), ('FPR', 0.2075187969924812), ('FDR', 0.7419354838709677), ('MCC', 0.28074517570676527), ('Confusion Matrix', (527, 138, 32, 48)), ('ROC_AUC', 0.829906015037594), ('AUCPR', 0.3158867613627348)]",80
20,"[('True Negtaives', 112), ('False Positives', 528), ('False Negtaives', 2), ('True Positives', 258), ('Accuracy', 0.4111111111111111), ('Precision', 0.3282442748091603), ('Recall', 0.9923076923076923), ('F1 Score', 0.4933078393881453), ('Specificity', 0.175), ('NPV', 0.9824561403508771), ('FPR', 0.825), ('FDR', 0.6717557251908397), ('MCC', 0.22799686282812712), ('Confusion Matrix', (112, 528, 2, 258)), ('ROC_AUC', 0.6712740384615383), ('AUCPR', 0.4060148304934562)]",260
21,"[('True Negtaives', 405), ('False Positives', 136), ('False Negtaives', 41), ('True Positives', 59), ('Accuracy', 0.7238689547581904), ('Precision', 0.30256410256410254), ('Recall', 0.59), ('F1 Score', 0.4), ('Specificity', 0.7486136783733827), ('NPV', 0.9080717488789237), ('FPR', 0.2513863216266174), ('FDR', 0.6974358974358974), ('MCC', 0.2670658728749005), ('Confusion Matrix', (405, 136, 41, 59)), ('ROC_AUC', 0.7489279112754158), ('AUCPR', 0.2919286593301592)]",100
22,"[('True Negtaives', 1561), ('False Positives', 44), ('False Negtaives', 108), ('True Positives', 50), ('Accuracy', 0.9137833238797505), ('Precision', 0.5319148936170213), ('Recall', 0.31645569620253167), ('F1 Score', 0.39682539682539686), ('Specificity', 0.9725856697819315), ('NPV', 0.9352905931695626), ('FPR', 0.027414330218068536), ('FDR', 0.46808510638297873), ('MCC', 0.3674802200067784), ('Confusion Matrix', (1561, 44, 108, 50)), ('ROC_AUC', 0.8796995149651011), ('AUCPR', 0.4043033083425064)]",158
23,"[('True Negtaives', 871), ('False Positives', 263), ('False Negtaives', 23), ('True Positives', 30), ('Accuracy', 0.7590564448188711), ('Precision', 0.10238907849829351), ('Recall', 0.5660377358490566), ('F1 Score', 0.17341040462427745), ('Specificity', 0.7680776014109347), ('NPV', 0.9742729306487695), ('FPR', 0.23192239858906524), ('FDR', 0.8976109215017065), ('MCC', 0.16004359731398043), ('Confusion Matrix', (871, 263, 23, 30)), ('ROC_AUC', 0.7483112042860471), ('AUCPR', 0.08864722109579053)]",53
