timestep,metrics,total_pos_label
14,"[('True Negtaives', 366), ('False Positives', 8), ('False Negtaives', 5), ('True Positives', 38), ('Accuracy', 0.9688249400479616), ('Precision', 0.8260869565217391), ('Recall', 0.8837209302325582), ('F1 Score', 0.853932584269663), ('Specificity', 0.9786096256684492), ('NPV', 0.9865229110512129), ('FPR', 0.0213903743315508), ('FDR', 0.17391304347826086), ('MCC', 0.8371011401466537), ('Confusion Matrix', (366, 8, 5, 38)), ('ROC_AUC', 0.9393732122870289), ('AUCPR', 0.9145374287207482)]",43
15,"[('True Negtaives', 466), ('False Positives', 5), ('False Negtaives', 1), ('True Positives', 146), ('Accuracy', 0.9902912621359223), ('Precision', 0.9668874172185431), ('Recall', 0.9931972789115646), ('F1 Score', 0.9798657718120806), ('Specificity', 0.9893842887473461), ('NPV', 0.9978586723768736), ('FPR', 0.010615711252653927), ('FDR', 0.033112582781456956), ('MCC', 0.9736229892044809), ('Confusion Matrix', (466, 5, 1, 146)), ('ROC_AUC', 0.9942660716091107), ('AUCPR', 0.9950355142056823)]",147
16,"[('True Negtaives', 394), ('False Positives', 8), ('False Negtaives', 6), ('True Positives', 122), ('Accuracy', 0.9735849056603774), ('Precision', 0.9384615384615385), ('Recall', 0.953125), ('F1 Score', 0.9457364341085271), ('Specificity', 0.9800995024875622), ('NPV', 0.985), ('FPR', 0.01990049751243781), ('FDR', 0.06153846153846154), ('MCC', 0.9283301863007407), ('Confusion Matrix', (394, 8, 6, 122)), ('ROC_AUC', 0.9828299906716418), ('AUCPR', 0.9791142906902418)]",128
17,"[('True Negtaives', 684), ('False Positives', 28), ('False Negtaives', 5), ('True Positives', 94), ('Accuracy', 0.9593094944512947), ('Precision', 0.7704918032786885), ('Recall', 0.9494949494949495), ('F1 Score', 0.8506787330316742), ('Specificity', 0.9606741573033708), ('NPV', 0.9927431059506531), ('FPR', 0.03932584269662921), ('FDR', 0.22950819672131148), ('MCC', 0.8334703567677538), ('Confusion Matrix', (684, 28, 5, 94)), ('ROC_AUC', 0.9810889796844854), ('AUCPR', 0.9667389522262636)]",99
18,"[('True Negtaives', 331), ('False Positives', 6), ('False Negtaives', 4), ('True Positives', 48), ('Accuracy', 0.974293059125964), ('Precision', 0.8888888888888888), ('Recall', 0.9230769230769231), ('F1 Score', 0.9056603773584906), ('Specificity', 0.9821958456973294), ('NPV', 0.9880597014925373), ('FPR', 0.017804154302670624), ('FDR', 0.1111111111111111), ('MCC', 0.8909981360739603), ('Confusion Matrix', (331, 6, 4, 48)), ('ROC_AUC', 0.9891006619493267), ('AUCPR', 0.9576620602526645)]",52
19,"[('True Negtaives', 651), ('False Positives', 14), ('False Negtaives', 14), ('True Positives', 66), ('Accuracy', 0.9624161073825503), ('Precision', 0.825), ('Recall', 0.825), ('F1 Score', 0.825), ('Specificity', 0.9789473684210527), ('NPV', 0.9789473684210527), ('FPR', 0.021052631578947368), ('FDR', 0.175), ('MCC', 0.8039473684210526), ('Confusion Matrix', (651, 14, 14, 66)), ('ROC_AUC', 0.9630827067669173), ('AUCPR', 0.9005801719458928)]",80
20,"[('True Negtaives', 606), ('False Positives', 34), ('False Negtaives', 57), ('True Positives', 203), ('Accuracy', 0.8988888888888888), ('Precision', 0.8565400843881856), ('Recall', 0.7807692307692308), ('F1 Score', 0.8169014084507042), ('Specificity', 0.946875), ('NPV', 0.9140271493212669), ('FPR', 0.053125), ('FDR', 0.14345991561181434), ('MCC', 0.7487982385319084), ('Confusion Matrix', (606, 34, 57, 203)), ('ROC_AUC', 0.929245793269231), ('AUCPR', 0.903794874151569)]",260
21,"[('True Negtaives', 505), ('False Positives', 36), ('False Negtaives', 13), ('True Positives', 87), ('Accuracy', 0.9235569422776911), ('Precision', 0.7073170731707317), ('Recall', 0.87), ('F1 Score', 0.7802690582959642), ('Specificity', 0.933456561922366), ('NPV', 0.974903474903475), ('FPR', 0.066543438077634), ('FDR', 0.2926829268292683), ('MCC', 0.7403611119099208), ('Confusion Matrix', (505, 36, 13, 87)), ('ROC_AUC', 0.9683548983364141), ('AUCPR', 0.9140636707277293)]",100
22,"[('True Negtaives', 1551), ('False Positives', 54), ('False Negtaives', 15), ('True Positives', 143), ('Accuracy', 0.9608621667612025), ('Precision', 0.7258883248730964), ('Recall', 0.9050632911392406), ('F1 Score', 0.8056338028169014), ('Specificity', 0.9663551401869159), ('NPV', 0.9904214559386973), ('FPR', 0.03364485981308411), ('FDR', 0.27411167512690354), ('MCC', 0.790066798149749), ('Confusion Matrix', (1551, 54, 15, 143)), ('ROC_AUC', 0.9609803225679245), ('AUCPR', 0.8995745078686577)]",158
23,"[('True Negtaives', 1122), ('False Positives', 12), ('False Negtaives', 23), ('True Positives', 30), ('Accuracy', 0.970513900589722), ('Precision', 0.7142857142857143), ('Recall', 0.5660377358490566), ('F1 Score', 0.631578947368421), ('Specificity', 0.9894179894179894), ('NPV', 0.9799126637554585), ('FPR', 0.010582010582010581), ('FDR', 0.2857142857142857), ('MCC', 0.6209641403125197), ('Confusion Matrix', (1122, 12, 23, 30)), ('ROC_AUC', 0.8078932481448204), ('AUCPR', 0.5713755019287546)]",53
24,"[('True Negtaives', 964), ('False Positives', 25), ('False Negtaives', 79), ('True Positives', 58), ('Accuracy', 0.9076376554174067), ('Precision', 0.6987951807228916), ('Recall', 0.4233576642335766), ('F1 Score', 0.5272727272727272), ('Specificity', 0.974721941354904), ('NPV', 0.9242569511025887), ('FPR', 0.025278058645096056), ('FDR', 0.30120481927710846), ('MCC', 0.4980204281936126), ('Confusion Matrix', (964, 25, 79, 58)), ('ROC_AUC', 0.7979748031263608), ('AUCPR', 0.5889984066308328)]",137
25,"[('True Negtaives', 471), ('False Positives', 5), ('False Negtaives', 4), ('True Positives', 114), ('Accuracy', 0.9848484848484849), ('Precision', 0.957983193277311), ('Recall', 0.9661016949152542), ('F1 Score', 0.9620253164556962), ('Specificity', 0.9894957983193278), ('NPV', 0.991578947368421), ('FPR', 0.01050420168067227), ('FDR', 0.04201680672268908), ('MCC', 0.9525750370818695), ('Confusion Matrix', (471, 5, 4, 114)), ('ROC_AUC', 0.9840567582965389), ('AUCPR', 0.9713912605956716)]",118
26,"[('True Negtaives', 397), ('False Positives', 24), ('False Negtaives', 13), ('True Positives', 83), ('Accuracy', 0.9284332688588007), ('Precision', 0.7757009345794392), ('Recall', 0.8645833333333334), ('F1 Score', 0.8177339901477833), ('Specificity', 0.9429928741092637), ('NPV', 0.9682926829268292), ('FPR', 0.057007125890736345), ('FDR', 0.22429906542056074), ('MCC', 0.7751332427313452), ('Confusion Matrix', (397, 24, 13, 83)), ('ROC_AUC', 0.9593972684085511), ('AUCPR', 0.8896991426281412)]",96
27,"[('True Negtaives', 175), ('False Positives', 7), ('False Negtaives', 1), ('True Positives', 23), ('Accuracy', 0.9611650485436893), ('Precision', 0.7666666666666667), ('Recall', 0.9583333333333334), ('F1 Score', 0.8518518518518519), ('Specificity', 0.9615384615384616), ('NPV', 0.9943181818181818), ('FPR', 0.038461538461538464), ('FDR', 0.23333333333333334), ('MCC', 0.8366651053115568), ('Confusion Matrix', (175, 7, 1, 23)), ('ROC_AUC', 0.9929029304029304), ('AUCPR', 0.9751157407407407)]",24
28,"[('True Negtaives', 196), ('False Positives', 3), ('False Negtaives', 2), ('True Positives', 83), ('Accuracy', 0.9823943661971831), ('Precision', 0.9651162790697675), ('Recall', 0.9764705882352941), ('F1 Score', 0.9707602339181286), ('Specificity', 0.9849246231155779), ('NPV', 0.98989898989899), ('FPR', 0.01507537688442211), ('FDR', 0.03488372093023256), ('MCC', 0.9581999302617008), ('Confusion Matrix', (196, 3, 2, 83)), ('ROC_AUC', 0.9972214011232634), ('AUCPR', 0.9955020585820535)]",85
29,"[('True Negtaives', 811), ('False Positives', 34), ('False Negtaives', 103), ('True Positives', 226), ('Accuracy', 0.883304940374787), ('Precision', 0.8692307692307693), ('Recall', 0.6869300911854104), ('F1 Score', 0.7674023769100171), ('Specificity', 0.9597633136094674), ('NPV', 0.887308533916849), ('FPR', 0.040236686390532544), ('FDR', 0.13076923076923078), ('MCC', 0.6994633498716551), ('Confusion Matrix', (811, 34, 103, 226)), ('ROC_AUC', 0.9403589863491664), ('AUCPR', 0.8673665380241019)]",329
30,"[('True Negtaives', 434), ('False Positives', 7), ('False Negtaives', 9), ('True Positives', 74), ('Accuracy', 0.9694656488549618), ('Precision', 0.9135802469135802), ('Recall', 0.891566265060241), ('F1 Score', 0.9024390243902438), ('Specificity', 0.9841269841269841), ('NPV', 0.9796839729119639), ('FPR', 0.015873015873015872), ('FDR', 0.08641975308641975), ('MCC', 0.8844351005255968), ('Confusion Matrix', (434, 7, 9, 74)), ('ROC_AUC', 0.9665874381881266), ('AUCPR', 0.8840205176187262)]",83
31,"[('True Negtaives', 588), ('False Positives', 16), ('False Negtaives', 19), ('True Positives', 87), ('Accuracy', 0.9507042253521126), ('Precision', 0.8446601941747572), ('Recall', 0.8207547169811321), ('F1 Score', 0.832535885167464), ('Specificity', 0.9735099337748344), ('NPV', 0.9686985172981878), ('FPR', 0.026490066225165563), ('FDR', 0.1553398058252427), ('MCC', 0.8037549831306687), ('Confusion Matrix', (588, 16, 19, 87)), ('ROC_AUC', 0.9434274647007372), ('AUCPR', 0.7890451487221023)]",106
