timestep,metrics,total_pos_label
15,"[('True Negtaives', 463), ('False Positives', 8), ('False Negtaives', 1), ('True Positives', 146), ('Accuracy', 0.9854368932038835), ('Precision', 0.948051948051948), ('Recall', 0.9931972789115646), ('F1 Score', 0.9700996677740864), ('Specificity', 0.9830148619957537), ('NPV', 0.9978448275862069), ('FPR', 0.016985138004246284), ('FDR', 0.05194805194805195), ('MCC', 0.9609349178914525), ('Confusion Matrix', (463, 8, 1, 146)), ('ROC_AUC', 0.992475121683493), ('AUCPR', 0.9900711346168616)]",147
16,"[('True Negtaives', 394), ('False Positives', 8), ('False Negtaives', 7), ('True Positives', 121), ('Accuracy', 0.9716981132075472), ('Precision', 0.937984496124031), ('Recall', 0.9453125), ('F1 Score', 0.9416342412451363), ('Specificity', 0.9800995024875622), ('NPV', 0.9825436408977556), ('FPR', 0.01990049751243781), ('FDR', 0.06201550387596899), ('MCC', 0.9229668393975358), ('Confusion Matrix', (394, 8, 7, 121)), ('ROC_AUC', 0.9763292910447762), ('AUCPR', 0.9730904949737132)]",128
17,"[('True Negtaives', 0), ('False Positives', 712), ('False Negtaives', 0), ('True Positives', 99), ('Accuracy', 0.1220715166461159), ('Precision', 0.1220715166461159), ('Recall', 1.0), ('F1 Score', 0.21758241758241756), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.8779284833538841), ('MCC', 0.0), ('Confusion Matrix', (0, 712, 0, 99)), ('ROC_AUC', 0.94610430144138), ('AUCPR', 0.6838036894900018)]",99
18,"[('True Negtaives', 0), ('False Positives', 337), ('False Negtaives', 0), ('True Positives', 52), ('Accuracy', 0.13367609254498714), ('Precision', 0.13367609254498714), ('Recall', 1.0), ('F1 Score', 0.23582766439909295), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.8663239074550129), ('MCC', 0.0), ('Confusion Matrix', (0, 337, 0, 52)), ('ROC_AUC', 0.8816480255649395), ('AUCPR', 0.644359999919591)]",52
19,"[('True Negtaives', 0), ('False Positives', 665), ('False Negtaives', 0), ('True Positives', 80), ('Accuracy', 0.10738255033557047), ('Precision', 0.10738255033557047), ('Recall', 1.0), ('F1 Score', 0.1939393939393939), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.8926174496644296), ('MCC', 0.0), ('Confusion Matrix', (0, 665, 0, 80)), ('ROC_AUC', 0.8650000000000001), ('AUCPR', 0.5160157441880282)]",80
20,"[('True Negtaives', 0), ('False Positives', 640), ('False Negtaives', 0), ('True Positives', 260), ('Accuracy', 0.28888888888888886), ('Precision', 0.28888888888888886), ('Recall', 1.0), ('F1 Score', 0.4482758620689655), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.7111111111111111), ('MCC', 0.0), ('Confusion Matrix', (0, 640, 0, 260)), ('ROC_AUC', 0.8107091346153846), ('AUCPR', 0.6941431586291091)]",260
21,"[('True Negtaives', 541), ('False Positives', 0), ('False Negtaives', 99), ('True Positives', 1), ('Accuracy', 0.8455538221528861), ('Precision', 1.0), ('Recall', 0.01), ('F1 Score', 0.019801980198019802), ('Specificity', 1.0), ('NPV', 0.8453125), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.09194087774216646), ('Confusion Matrix', (541, 0, 99, 1)), ('ROC_AUC', 0.9570609981515711), ('AUCPR', 0.9013594180815845)]",100
22,"[('True Negtaives', 1605), ('False Positives', 0), ('False Negtaives', 156), ('True Positives', 2), ('Accuracy', 0.9115144639818491), ('Precision', 1.0), ('Recall', 0.012658227848101266), ('F1 Score', 0.024999999999999998), ('Specificity', 1.0), ('NPV', 0.9114139693356048), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.1074098956697774), ('Confusion Matrix', (1605, 0, 156, 2)), ('ROC_AUC', 0.964836941519776), ('AUCPR', 0.9210258959705031)]",158
23,"[('True Negtaives', 0), ('False Positives', 1134), ('False Negtaives', 0), ('True Positives', 53), ('Accuracy', 0.04465037910699242), ('Precision', 0.04465037910699242), ('Recall', 1.0), ('F1 Score', 0.08548387096774195), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9553496208930076), ('MCC', 0.0), ('Confusion Matrix', (0, 1134, 0, 53)), ('ROC_AUC', 0.731772653156301), ('AUCPR', 0.42512536450606675)]",53
24,"[('True Negtaives', 989), ('False Positives', 0), ('False Negtaives', 137), ('True Positives', 0), ('Accuracy', 0.8783303730017762), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8783303730017762), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (989, 0, 137, 0)), ('ROC_AUC', 0.8191567092026895), ('AUCPR', 0.553168422289191)]",137
25,"[('True Negtaives', 476), ('False Positives', 0), ('False Negtaives', 109), ('True Positives', 9), ('Accuracy', 0.8164983164983165), ('Precision', 1.0), ('Recall', 0.07627118644067797), ('F1 Score', 0.14173228346456693), ('Specificity', 1.0), ('NPV', 0.8136752136752137), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.24911839338832595), ('Confusion Matrix', (476, 0, 109, 9)), ('ROC_AUC', 0.9744872525281297), ('AUCPR', 0.955443043772768)]",118
26,"[('True Negtaives', 421), ('False Positives', 0), ('False Negtaives', 70), ('True Positives', 26), ('Accuracy', 0.8646034816247582), ('Precision', 1.0), ('Recall', 0.2708333333333333), ('F1 Score', 0.4262295081967213), ('Specificity', 1.0), ('NPV', 0.8574338085539714), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4818938228317181), ('Confusion Matrix', (421, 0, 70, 26)), ('ROC_AUC', 0.9408155186064925), ('AUCPR', 0.8823932214868834)]",96
27,"[('True Negtaives', 182), ('False Positives', 0), ('False Negtaives', 21), ('True Positives', 3), ('Accuracy', 0.8980582524271845), ('Precision', 1.0), ('Recall', 0.125), ('F1 Score', 0.2222222222222222), ('Specificity', 1.0), ('NPV', 0.896551724137931), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.3347670317059931), ('Confusion Matrix', (182, 0, 21, 3)), ('ROC_AUC', 0.9690934065934066), ('AUCPR', 0.8696827179914405)]",24
28,"[('True Negtaives', 199), ('False Positives', 0), ('False Negtaives', 40), ('True Positives', 45), ('Accuracy', 0.8591549295774648), ('Precision', 1.0), ('Recall', 0.5294117647058824), ('F1 Score', 0.6923076923076924), ('Specificity', 1.0), ('NPV', 0.8326359832635983), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.663933193369031), ('Confusion Matrix', (199, 0, 40, 45)), ('ROC_AUC', 0.9997044043748152), ('AUCPR', 0.9993328408693285)]",85
29,"[('True Negtaives', 843), ('False Positives', 2), ('False Negtaives', 260), ('True Positives', 69), ('Accuracy', 0.7768313458262351), ('Precision', 0.971830985915493), ('Recall', 0.20972644376899696), ('F1 Score', 0.34500000000000003), ('Specificity', 0.9976331360946745), ('NPV', 0.7642792384406165), ('FPR', 0.002366863905325444), ('FDR', 0.028169014084507043), ('MCC', 0.3906910631891083), ('Confusion Matrix', (843, 2, 260, 69)), ('ROC_AUC', 0.959569072498696), ('AUCPR', 0.9067412061394281)]",329
30,"[('True Negtaives', 324), ('False Positives', 117), ('False Negtaives', 6), ('True Positives', 77), ('Accuracy', 0.7652671755725191), ('Precision', 0.39690721649484534), ('Recall', 0.927710843373494), ('F1 Score', 0.555956678700361), ('Specificity', 0.7346938775510204), ('NPV', 0.9818181818181818), ('FPR', 0.2653061224489796), ('FDR', 0.6030927835051546), ('MCC', 0.5008687370724653), ('Confusion Matrix', (324, 117, 6, 77)), ('ROC_AUC', 0.969619976504658), ('AUCPR', 0.9447707873312859)]",83
31,"[('True Negtaives', 488), ('False Positives', 116), ('False Negtaives', 39), ('True Positives', 67), ('Accuracy', 0.7816901408450704), ('Precision', 0.366120218579235), ('Recall', 0.6320754716981132), ('F1 Score', 0.46366782006920415), ('Specificity', 0.8079470198675497), ('NPV', 0.9259962049335864), ('FPR', 0.19205298013245034), ('FDR', 0.6338797814207651), ('MCC', 0.35852168205195345), ('Confusion Matrix', (488, 116, 39, 67)), ('ROC_AUC', 0.829126577533425), ('AUCPR', 0.6633530545083411)]",106
32,"[('True Negtaives', 636), ('False Positives', 345), ('False Negtaives', 72), ('True Positives', 270), ('Accuracy', 0.6848072562358276), ('Precision', 0.43902439024390244), ('Recall', 0.7894736842105263), ('F1 Score', 0.5642633228840126), ('Specificity', 0.6483180428134556), ('NPV', 0.8983050847457628), ('FPR', 0.3516819571865443), ('FDR', 0.5609756097560976), ('MCC', 0.38429162550310497), ('Confusion Matrix', (636, 345, 72, 270)), ('ROC_AUC', 0.8634583400397018), ('AUCPR', 0.8227088632350441)]",342
33,"[('True Negtaives', 0), ('False Positives', 418), ('False Negtaives', 0), ('True Positives', 23), ('Accuracy', 0.05215419501133787), ('Precision', 0.05215419501133787), ('Recall', 1.0), ('F1 Score', 0.09913793103448276), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9478458049886621), ('MCC', 0.0), ('Confusion Matrix', (0, 418, 0, 23)), ('ROC_AUC', 0.9555856043270231), ('AUCPR', 0.855032879885415)]",23
